,0
0,C0006271_A
1,C0006271_P
2,C2077320_A
3,C2077320_P
4,C0231528_A
5,C0231528_P
6,C0521839_A
7,C0521839_P
8,C0476273_A
9,C0476273_P
10,C0231835_A
11,C0231835_P
12,C0018681_A
13,C0018681_P
14,C0013404_A
15,C0013404_P
16,C1656431_A
17,C1656431_P
18,C0242429_A
19,C0242429_P
20,AC000005_A
21,AC000005_P
22,C0700292_A
23,C0700292_P
24,C0027497_A
25,C0027497_P
26,C0729744_A
27,C0729744_P
28,C0027424_A
29,C0027424_P
30,AC000006_A
31,AC000006_P
32,C0085593_A
33,C0085593_P
34,C0043144_A
35,C0043144_P
36,C0003862_A
37,C0003862_P
38,C0425545_A
39,C0425545_P
40,C0000737_A
41,C0000737_P
42,C1978700_A
43,C1978700_P
44,C0038450_A
45,C0038450_P
46,C0424781_A
47,C0424781_I
48,C0424781_P
49,C0010380_A
50,C0010380_P
51,C0035508_A
52,C0035508_P
53,C0576456_A
54,C0576456_P
55,C1260880_A
56,C1260880_P
57,C0008031_A
58,C0008031_P
59,C0006277_A
60,C0006277_P
61,C0234866_A
62,C0234866_P
63,C0231218_A
64,C0231218_P
65,C0032285_A
66,C0032285_P
67,C0003578_A
68,C0003578_P
69,OC3842377_A
70,OC3842377_P
71,C0239134_A
72,C0239134_P
73,C0343484_A
74,C0343484_P
75,C0019825_A
76,C0019825_P
77,C0032310_A
78,C0032310_P
79,C0010520_A
80,C0010520_P
81,C0042740_A
82,C0042740_P
83,C0241902_A
84,C0241902_P
85,C2939015_A
86,C2939015_P
87,C0015672_A
88,C0015672_P
89,C0003123_A
90,C0003123_P
91,C0235896_A
92,C0235896_P
93,C2055125_A
94,C2055125_P
95,C0850149_A
96,C0850149_P
97,C0232498_A
98,C0232498_P
99,C0277873_A
100,C0277873_P
101,C0235592_A
102,C0235592_P
103,OC0031350_A
104,OC0031350_P
105,C2215098_A
106,C2215098_P
107,C0420679_A
108,C0420679_P
109,C0036572_A
110,C0036572_P
111,C0026837_A
112,C0026837_P
113,C0009763_A
114,C0009763_P
115,C0031350_A
116,C0031350_P
117,C1276802_A
118,C1276802_P
119,C0391853_A
120,C0391853_P
121,C2051411_A
122,C2051411_P
123,C0042963_A
124,C0042963_P
